story,gen,ind,model,temp,valid,validation,fitness,time_llm,time_lean,sgm_sd_sum,sgm_max,lcom_avg,coupling_max
g02-federalspending,1,0,gemini-3.1-pro-preview,0.5,True,,13.886,52.36,2.86,4.649,6.0,0.237,3.0
g02-federalspending,1,1,gemini-3.1-pro-preview,0.5,True,,15.878,45.95,2.76,3.579,8.0,0.299,4.0
g02-federalspending,1,2,gemini-3.1-pro-preview,0.5,True,,21.845,45.38,2.88,2.477,17.0,0.368,2.0
g02-federalspending,1,3,gemini-3.1-pro-preview,0.5,True,,12.851,40.31,2.76,3.578,6.0,0.273,3.0
g02-federalspending,1,4,gemini-3.1-pro-preview,0.5,True,,24.752,40.09,2.84,5.349,16.0,0.403,3.0
g02-federalspending,1,5,gemini-3.1-pro-preview,0.5,True,,11.543,42.99,2.77,2.2,6.0,0.343,3.0
g02-federalspending,1,6,gemini-3.1-pro-preview,0.5,True,,19.021,51.96,2.7,1.59,15.0,0.431,2.0
g02-federalspending,1,7,gemini-3.1-pro-preview,0.5,True,,13.18,23.21,5.63,2.918,7.0,0.262,3.0
g02-federalspending,1,8,gemini-3.1-pro-preview,0.5,True,,23.62,45.76,4.54,5.276,16.0,0.344,2.0
g02-federalspending,1,9,gemini-3.1-pro-preview,0.5,True,,10.109,37.18,3.74,1.819,5.0,0.29,3.0
g02-federalspending,2,0,gemini-3.1-pro-preview,0.5,True,,10.109,0.0,0.0,1.819,5.0,0.29,3.0
g02-federalspending,2,1,gemini-3.1-pro-preview,0.5,True,,11.543,0.0,0.0,2.2,6.0,0.343,3.0
g02-federalspending,2,2,gemini-3.1-pro-preview,0.5,True,,12.851,0.0,0.0,3.578,6.0,0.273,3.0
g02-federalspending,2,3,gemini-3.1-pro-preview,0.5,True,,13.18,0.0,0.0,2.918,7.0,0.262,3.0
g02-federalspending,2,4,gemini-3.1-pro-preview,0.5,True,,13.886,0.0,0.0,4.649,6.0,0.237,3.0
g02-federalspending,2,5,gemini-3.1-pro-preview,0.5,True,,12.731,31.13,3.57,3.421,5.0,0.31,4.0
g02-federalspending,2,6,gemini-3.1-pro-preview,0.5,True,,9.977,26.64,5.85,2.847,4.0,0.13,3.0
g02-federalspending,2,7,gemini-3.1-pro-preview,0.5,True,,12.919,33.22,2.81,2.594,5.0,0.325,5.0
g02-federalspending,2,8,gemini-3.1-pro-preview,0.5,True,,12.219,29.6,2.94,3.877,5.0,0.342,3.0
g02-federalspending,2,9,gemini-3.1-pro-preview,0.5,True,,13.559,35.0,2.84,4.274,5.0,0.285,4.0
g02-federalspending,3,0,gemini-3.1-pro-preview,0.5,True,,9.977,0.0,0.0,2.847,4.0,0.13,3.0
g02-federalspending,3,1,gemini-3.1-pro-preview,0.5,True,,10.109,0.0,0.0,1.819,5.0,0.29,3.0
g02-federalspending,3,2,gemini-3.1-pro-preview,0.5,True,,11.543,0.0,0.0,2.2,6.0,0.343,3.0
g02-federalspending,3,3,gemini-3.1-pro-preview,0.5,True,,12.219,0.0,0.0,3.877,5.0,0.342,3.0
g02-federalspending,3,4,gemini-3.1-pro-preview,0.5,True,,12.731,0.0,0.0,3.421,5.0,0.31,4.0
g02-federalspending,3,5,gemini-3.1-pro-preview,0.5,True,,12.914,31.02,2.88,3.477,5.0,0.437,4.0
g02-federalspending,3,6,gemini-3.1-pro-preview,0.5,True,,12.173,30.54,2.82,3.931,5.0,0.242,3.0
g02-federalspending,3,7,gemini-3.1-pro-preview,0.5,True,,11.649,30.82,2.8,2.366,5.0,0.283,4.0
g02-federalspending,3,8,gemini-3.1-pro-preview,0.5,True,,10.069,27.28,6.12,2.819,4.0,0.25,3.0
g02-federalspending,3,9,gemini-3.1-pro-preview,0.5,True,,12.426,28.14,2.81,4.2,5.0,0.226,3.0
g02-federalspending,4,0,gemini-3.1-pro-preview,0.5,True,,9.977,0.0,0.0,2.847,4.0,0.13,3.0
g02-federalspending,4,1,gemini-3.1-pro-preview,0.5,True,,10.069,0.0,0.0,2.819,4.0,0.25,3.0
g02-federalspending,4,2,gemini-3.1-pro-preview,0.5,True,,10.109,0.0,0.0,1.819,5.0,0.29,3.0
g02-federalspending,4,3,gemini-3.1-pro-preview,0.5,True,,11.543,0.0,0.0,2.2,6.0,0.343,3.0
g02-federalspending,4,4,gemini-3.1-pro-preview,0.5,True,,11.649,0.0,0.0,2.366,5.0,0.283,4.0
g02-federalspending,4,5,gemini-3.1-pro-preview,0.5,True,,12.331,31.7,2.87,3.19,5.0,0.141,4.0
g02-federalspending,4,6,gemini-3.1-pro-preview,0.5,True,,10.911,21.9,3.0,2.77,5.0,0.141,3.0
g02-federalspending,4,7,gemini-3.1-pro-preview,0.5,True,,11.438,27.25,3.8,3.242,5.0,0.196,3.0
g02-federalspending,4,8,gemini-3.1-pro-preview,0.5,True,,11.4,21.88,3.44,3.252,4.0,0.148,4.0
g02-federalspending,4,9,gemini-3.1-pro-preview,0.5,True,,11.609,24.9,2.86,2.376,5.0,0.233,4.0
g02-federalspending,5,0,gemini-3.1-pro-preview,0.5,True,,9.977,0.0,0.0,2.847,4.0,0.13,3.0
g02-federalspending,5,1,gemini-3.1-pro-preview,0.5,True,,10.069,0.0,0.0,2.819,4.0,0.25,3.0
g02-federalspending,5,2,gemini-3.1-pro-preview,0.5,True,,10.109,0.0,0.0,1.819,5.0,0.29,3.0
g02-federalspending,5,3,gemini-3.1-pro-preview,0.5,True,,10.911,0.0,0.0,2.77,5.0,0.141,3.0
g02-federalspending,5,4,gemini-3.1-pro-preview,0.5,True,,11.4,0.0,0.0,3.252,4.0,0.148,4.0
